,run_id,time_step,listened,opinion,out_belief
0,0,1,both,0.7389425789345396,0.3333333333333333
1,0,1,both,0.7640846600766945,0.3333333333333333
2,0,1,both,0.630723365172122,0.3333333333333333
3,0,1,both,0.7361339466981849,0.3333333333333333
4,0,1,both,0.7711578269806963,0.3333333333333333
5,0,1,both,0.6372776915810467,0.3333333333333333
6,0,1,both,0.7003823694178682,0.3333333333333333
7,0,1,both,0.6856620444985644,0.3333333333333333
8,0,1,both,0.7113677757563086,0.3333333333333333
9,0,1,both,0.6484799536291699,0.3333333333333333
10,0,1,both,0.7615088260577906,0.3333333333333333
11,0,1,both,0.6551267762904225,0.3333333333333333
12,0,1,both,0.6359983721696515,0.3333333333333333
13,0,1,both,0.7420673783005547,0.3333333333333333
14,0,1,both,0.6387166141197541,0.3333333333333333
15,0,1,both,0.6502443640574775,0.3333333333333333
16,0,1,both,0.6133728418976321,0.3333333333333333
17,0,1,both,0.6988568510063795,0.3333333333333333
18,0,1,both,0.6925112600729402,0.3333333333333333
19,0,1,both,0.6878849618427265,0.3333333333333333
20,0,1,both,0.7284347579447263,0.3333333333333333
21,0,1,both,0.6619282565647104,0.3333333333333333
22,0,1,both,0.6885126783387535,0.3333333333333333
23,0,1,both,0.707490340958078,0.3333333333333333
24,0,1,both,0.7623311223770057,0.3333333333333333
25,0,1,both,0.703996840774489,0.3333333333333333
26,0,1,both,0.6268864244714583,0.3333333333333333
27,0,1,both,0.6199427849944146,0.3333333333333333
28,0,1,both,0.6432763218617069,0.3333333333333333
29,0,1,both,0.7485790671882642,0.3333333333333333
30,0,1,both,0.7065752975304821,0.3333333333333333
31,0,1,both,0.6876025153886748,0.3333333333333333
32,0,1,both,0.7427509974110481,0.3333333333333333
33,0,1,both,0.5156892946655299,0.3333333333333333
34,0,1,both,0.6996701744308208,0.3333333333333333
35,0,1,both,0.7243737803113298,0.3333333333333333
36,0,1,both,0.7767144921432487,0.3333333333333333
37,0,1,both,0.8516198796021366,0.3333333333333333
38,0,1,both,0.7654467272149832,0.3333333333333333
39,0,1,both,0.6455161480650815,0.3333333333333333
40,0,1,both,0.6931163077079205,0.3333333333333333
41,0,1,both,0.7352935438584143,0.3333333333333333
42,0,1,both,0.7571437378168459,0.3333333333333333
43,0,1,both,0.6913901298409201,0.3333333333333333
44,0,1,both,0.7414986287070516,0.3333333333333333
45,0,1,both,0.6635402475615119,0.3333333333333333
46,0,1,both,0.7299131648187898,0.3333333333333333
47,0,1,both,0.6924714060498388,0.3333333333333333
48,0,1,both,0.685533663293056,0.3333333333333333
49,0,1,both,0.7090887831491115,0.3333333333333333
50,0,1,both,0.6868165003067457,0.3333333333333333
0,0,102,none,0.5156892946655299,0.4667792109882294
1,0,102,none,0.6133728418976321,0.4667792109882294
2,0,102,none,0.6199427849944146,0.4667792109882294
3,0,102,none,0.6268864244714583,0.4667792109882294
4,0,102,none,0.630723365172122,0.4667792109882294
5,0,102,extensive,0.6359983721696515,0.3701269899564732
6,0,102,extensive,0.6372776915810467,0.3701269899564732
7,0,102,extensive,0.6387166141197541,0.3701269899564732
8,0,102,extensive,0.6432763218617069,0.3701269899564732
9,0,102,extensive,0.6455161480650815,0.3701269899564732
10,0,102,extensive,0.6484799536291699,0.3701269899564732
11,0,102,extensive,0.6502443640574775,0.3701269899564732
12,0,102,extensive,0.6551267762904225,0.3701269899564732
13,0,102,extensive,0.6619282565647104,0.3701269899564732
14,0,102,extensive,0.6635402475615119,0.3701269899564732
15,0,102,both,0.685533663293056,0.42140356227183395
16,0,102,both,0.6856620444985644,0.421461528174765
17,0,102,both,0.6868165003067457,0.4214255633234185
18,0,102,both,0.6876025153886748,0.4214254270531774
19,0,102,both,0.6878849618427265,0.42138212633981065
20,0,102,both,0.6885126783387535,0.42143601071836295
21,0,102,both,0.6913901298409201,0.42138004647054883
22,0,102,both,0.6924714060498388,0.42151757186518146
23,0,102,both,0.6925112600729402,0.42142659391714155
24,0,102,both,0.6931163077079205,0.4213819672742709
25,0,102,both,0.6988568510063795,0.4213829552094341
26,0,102,both,0.6996701744308208,0.4213860211692467
27,0,102,both,0.7003823694178682,0.4667792109882294
28,0,102,both,0.703996840774489,0.4667792109882294
29,0,102,both,0.7065752975304821,0.4667792109882294
30,0,102,both,0.707490340958078,0.4667792109882294
31,0,102,both,0.7090887831491115,0.3596705864362275
32,0,102,both,0.7113677757563086,0.4667792109882294
33,0,102,both,0.7243737803113298,0.35956078028223976
34,0,102,both,0.7284347579447263,0.35900379819869827
35,0,102,both,0.7299131648187898,0.35905277065510766
36,0,102,both,0.7352935438584143,0.3598087437929341
37,0,102,both,0.7361339466981849,0.35905421035408636
38,0,102,both,0.7389425789345396,0.3590079196941642
39,0,102,both,0.7414986287070516,0.36001549608713806
40,0,102,both,0.7420673783005547,0.35901271956844283
41,0,102,both,0.7427509974110481,0.4667792109882294
42,0,102,both,0.7485790671882642,0.36323347864627864
43,0,102,both,0.7571437378168459,0.3618122884161157
44,0,102,both,0.7615088260577906,0.3613258734450531
45,0,102,both,0.7623311223770057,0.3593199320258367
46,0,102,both,0.7640846600766945,0.3599099792602283
47,0,102,both,0.7654467272149832,0.35964573490426976
48,0,102,both,0.7711578269806963,0.3591032192933211
49,0,102,both,0.7767144921432487,0.3590008885061051
50,0,102,both,0.8516198796021366,0.3601189546989889
0,1,1,both,0.6629526381389617,0.3333333333333333
1,1,1,both,0.5664006482447568,0.3333333333333333
2,1,1,both,0.61164643118868,0.3333333333333333
3,1,1,both,0.7310468805797731,0.3333333333333333
